"","MasVnrArea","GarageYrBlt","MasVnrType","GarageType","GarageFinish","GarageQual","GarageCond","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","Electrical","MSZoning","Exterior1st","Exterior2nd","KitchenQual","SaleType","BsmtUnfSF","TotalBsmtSF","BsmtFullBath","GarageCars","GarageArea","BsmtFinSF1","Id","LotArea","LotShape","Neighborhood","HouseStyle","OverallQual","YearBuilt","YearRemodAdd","ExterQual","Foundation","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","TotRmsAbvGrd","Fireplaces","PavedDrive","WoodDeckSF","OpenPorchSF","SaleCondition","SalePrice"
"1",196,2003,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",150,856,1,2,548,706,1,8450,"Reg","CollgCr","2Story",7,2003,2003,"Gd","PConc","Ex","Y",856,854,1710,2,1,8,0,"Y",0,61,"Normal",12.2476991163726
"2",0,1976,"None","Attchd","RFn","TA","TA","Gd","TA","Gd","ALQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",284,1262,0,2,460,978,2,9600,"Reg","Veenker","1Story",6,1976,1976,"TA","CBlock","Ex","Y",1262,0,1262,2,0,6,1,"Y",298,0,"Normal",12.1090164423137
"3",162,2001,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Mn","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",434,920,1,2,608,486,3,11250,"IR1","CollgCr","2Story",7,2001,2002,"Gd","PConc","Ex","Y",920,866,1786,2,1,6,1,"Y",0,42,"Normal",12.3171711672987
"4",0,1998,"None","Detchd","Unf","TA","TA","TA","Gd","No","ALQ","SBrkr","RL","Wd Sdng","Wd Shng","Gd","WD",540,756,1,3,642,216,4,9550,"IR1","Crawfor","2Story",7,1915,1970,"TA","BrkTil","Gd","Y",961,756,1717,1,0,7,1,"Y",0,35,"Abnorml",11.8494048444231
"5",350,2000,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",490,1145,1,3,836,655,5,14260,"IR1","NoRidge","2Story",8,2000,2000,"Gd","PConc","Ex","Y",1145,1053,2198,2,1,9,1,"Y",192,84,"Normal",12.4292201968364
"6",0,1993,"None","Attchd","Unf","TA","TA","Gd","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",64,796,1,2,480,732,6,14115,"IR1","Mitchel","1.5Fin",5,1993,1995,"TA","Wood","Ex","Y",796,566,1362,1,1,5,0,"Y",40,30,"Normal",11.8706069022246
"7",186,2004,"Stone","Attchd","RFn","TA","TA","Ex","TA","Av","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",317,1686,1,2,636,1369,7,10084,"Reg","Somerst","1Story",8,2004,2005,"Gd","PConc","Ex","Y",1694,0,1694,2,0,7,1,"Y",255,57,"Normal",12.634606283893
"8",240,1973,"Stone","Attchd","RFn","TA","TA","Gd","TA","Mn","ALQ","SBrkr","RL","HdBoard","HdBoard","TA","WD",216,1107,1,2,484,859,8,10382,"IR1","NWAmes","2Story",7,1973,1973,"TA","CBlock","Ex","Y",1107,983,2090,2,1,7,2,"Y",235,204,"Normal",12.2060776455177
"9",0,1931,"None","Detchd","Unf","Fa","TA","TA","TA","No","Unf","FuseF","RM","BrkFace","Wd Shng","TA","WD",952,952,0,2,468,0,9,6120,"Reg","OldTown","1.5Fin",7,1931,1950,"TA","BrkTil","Gd","Y",1022,752,1774,2,0,8,2,"Y",90,0,"Abnorml",11.7745279008585
"10",0,1939,"None","Attchd","RFn","Gd","TA","TA","TA","No","GLQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",140,991,1,1,205,851,10,7420,"Reg","BrkSide","1.5Unf",5,1939,1950,"TA","BrkTil","Ex","Y",1077,0,1077,1,0,5,2,"Y",0,4,"Normal",11.6784483779882
"11",0,1965,"None","Detchd","Unf","TA","TA","TA","TA","No","Rec","SBrkr","RL","HdBoard","HdBoard","TA","WD",134,1040,1,1,384,906,11,11200,"Reg","Sawyer","1Story",5,1965,1965,"TA","CBlock","Ex","Y",1040,0,1040,1,0,5,0,"Y",0,0,"Normal",11.7714438820996
"12",286,2005,"Stone","BuiltIn","Fin","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","WdShing","Wd Shng","Ex","New",177,1175,1,3,736,998,12,11924,"IR1","NridgHt","2Story",9,2005,2006,"Ex","PConc","Ex","Y",1182,1142,2324,3,0,11,2,"Y",147,21,"Partial",12.75130259456
"13",0,1962,"None","Detchd","Unf","TA","TA","TA","TA","No","ALQ","SBrkr","RL","HdBoard","Plywood","TA","WD",175,912,1,1,352,737,13,12968,"IR2","Sawyer","1Story",5,1962,1962,"TA","CBlock","TA","Y",912,0,912,1,0,4,0,"Y",140,0,"Normal",11.8775755229785
"14",306,2006,"Stone","Attchd","RFn","TA","TA","Gd","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","New",1494,1494,0,3,840,0,14,10652,"IR1","CollgCr","1Story",7,2006,2007,"Gd","PConc","Ex","Y",1494,0,1494,2,0,7,1,"Y",160,33,"Partial",12.5407611493884
"15",212,1960,"BrkFace","Attchd","RFn","TA","TA","TA","TA","No","BLQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",520,1253,1,1,352,733,15,10920,"IR1","NAmes","1Story",6,1960,1960,"TA","CBlock","TA","Y",1253,0,1253,1,1,5,1,"Y",0,213,"Normal",11.9640074537369
"16",0,1991,"None","Detchd","Unf","TA","TA","TA","TA","No","Unf","FuseA","RM","Wd Sdng","Wd Sdng","TA","WD",832,832,0,2,576,0,16,6120,"Reg","BrkSide","1.5Unf",7,1929,2001,"TA","BrkTil","Ex","Y",854,0,854,1,0,5,0,"Y",48,112,"Normal",11.7905647772974
"17",180,1970,"BrkFace","Attchd","Fin","TA","TA","TA","TA","No","ALQ","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",426,1004,1,2,480,578,17,11241,"IR1","NAmes","1Story",6,1970,1970,"TA","CBlock","Ex","Y",1004,0,1004,1,0,5,1,"Y",0,0,"Normal",11.9117082963145
"18",0,1967,"None","CarPort","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","MetalSd","MetalSd","TA","WD",0,0,0,2,516,0,18,10791,"Reg","Sawyer","1Story",4,1967,1967,"TA","Slab","TA","Y",1296,0,1296,2,0,6,0,"Y",0,0,"Normal",11.4075760603618
"19",0,2004,"None","Detchd","Unf","TA","TA","TA","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",468,1114,1,2,576,646,19,13695,"Reg","SawyerW","1Story",5,2004,2004,"TA","PConc","Ex","Y",1114,0,1114,1,1,6,0,"Y",0,102,"Normal",11.9766657704908
"20",0,1958,"None","Attchd","Unf","TA","TA","TA","TA","No","LwQ","SBrkr","RL","BrkFace","Plywood","TA","COD",525,1029,0,1,294,504,20,7560,"Reg","NAmes","1Story",5,1958,1965,"TA","CBlock","TA","Y",1339,0,1339,1,0,6,0,"Y",0,0,"Abnorml",11.8422364063316
"21",380,2005,"BrkFace","BuiltIn","RFn","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","New",1158,1158,0,3,853,0,21,14215,"IR1","NridgHt","2Story",8,2005,2006,"Gd","PConc","Ex","Y",1158,1218,2376,3,1,9,1,"Y",240,154,"Partial",12.6925061865422
"22",0,1930,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","FuseF","RM","Wd Sdng","Wd Sdng","Gd","WD",637,637,0,1,280,0,22,7449,"Reg","IDOTRR","1.5Unf",7,1930,1950,"TA","PConc","Ex","Y",1108,0,1108,1,0,6,1,"N",0,0,"Normal",11.845109950884
"23",281,2002,"BrkFace","Attchd","RFn","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1777,1777,0,2,534,0,23,9742,"Reg","CollgCr","1Story",8,2002,2002,"Gd","PConc","Ex","Y",1795,0,1795,2,0,7,1,"Y",171,159,"Normal",12.345838935722
"24",0,1976,"None","Attchd","Unf","TA","TA","Gd","TA","No","GLQ","SBrkr","RM","CemntBd","CmentBd","TA","WD",200,1040,1,2,572,840,24,4224,"Reg","MeadowV","1Story",5,1976,1976,"TA","PConc","TA","Y",1060,0,1060,1,0,6,1,"Y",100,110,"Normal",11.7745279008585
"25",0,1968,"None","Attchd","Unf","TA","TA","TA","TA","Mn","Rec","SBrkr","RL","Plywood","Plywood","Gd","WD",204,1060,1,1,270,188,25,8246,"IR1","Sawyer","1Story",5,1968,2001,"TA","CBlock","Ex","Y",1060,0,1060,1,0,6,1,"Y",406,90,"Normal",11.9447143748812
"26",640,2007,"Stone","Attchd","RFn","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1566,1566,0,3,890,0,26,14230,"Reg","NridgHt","1Story",8,2007,2007,"Gd","PConc","Ex","Y",1600,0,1600,2,0,7,1,"Y",0,56,"Normal",12.4541078140223
"27",0,2005,"None","Detchd","Unf","TA","TA","TA","TA","Mn","BLQ","SBrkr","RL","Wd Sdng","Wd Sdng","Gd","WD",180,900,0,2,576,234,27,7200,"Reg","NAmes","1Story",5,1951,2000,"TA","CBlock","TA","Y",900,0,900,1,0,5,0,"Y",222,32,"Normal",11.8115548958305
"28",200,2008,"Stone","Attchd","RFn","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",486,1704,1,3,772,1218,28,11478,"Reg","NridgHt","1Story",8,2007,2008,"Gd","PConc","Ex","Y",1704,0,1704,2,0,7,1,"Y",0,50,"Normal",12.631343648903
"29",0,1957,"None","Attchd","RFn","TA","TA","TA","TA","Gd","BLQ","SBrkr","RL","MetalSd","MetalSd","TA","WD",207,1484,1,1,319,1277,29,16321,"IR1","NAmes","1Story",5,1957,1997,"TA","CBlock","TA","Y",1600,0,1600,1,0,6,2,"Y",288,258,"Normal",12.2428914379184
"30",0,1920,"None","Detchd","Unf","Fa","TA","TA","TA","No","Unf","SBrkr","RM","MetalSd","MetalSd","Fa","WD",520,520,0,1,240,0,30,6324,"IR1","BrkSide","1Story",4,1927,1950,"TA","BrkTil","Fa","N",520,0,520,1,0,4,0,"Y",49,0,"Normal",11.1346036226839
"31",0,1920,"None","Detchd","Unf","TA","Fa","TA","TA","No","Unf","SBrkr","C (all)","BrkFace","BrkFace","TA","WD",649,649,0,1,250,0,31,8500,"Reg","IDOTRR","2Story",4,1920,1950,"TA","BrkTil","TA","N",649,668,1317,1,0,6,0,"N",0,54,"Normal",10.5966597327836
"32",0,1966,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","SBrkr","RL","HdBoard","HdBoard","Gd","WD",1228,1228,0,1,271,0,32,8544,"IR1","Sawyer","1Story",5,1966,2006,"TA","CBlock","Gd","Y",1228,0,1228,1,1,6,0,"Y",0,65,"Normal",11.9140545193031
"33",0,2007,"None","Attchd","RFn","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1234,1234,0,2,484,0,33,11049,"Reg","CollgCr","1Story",8,2007,2007,"Gd","PConc","Ex","Y",1234,0,1234,2,0,7,0,"Y",0,30,"Normal",12.1001619785669
"34",0,1959,"None","Attchd","RFn","TA","TA","TA","TA","No","Rec","SBrkr","RL","BrkFace","BrkFace","Gd","WD",380,1398,0,2,447,1018,34,10552,"IR1","NAmes","1Story",5,1959,1959,"TA","CBlock","Gd","Y",1700,0,1700,1,1,6,1,"Y",0,38,"Normal",12.0167325160771
"35",246,2005,"BrkFace","Attchd","Fin","TA","TA","Ex","TA","No","GLQ","SBrkr","RL","MetalSd","MetalSd","Ex","WD",408,1561,1,2,556,1153,35,7313,"Reg","NridgHt","1Story",9,2005,2005,"Ex","PConc","Ex","Y",1561,0,1561,2,0,6,1,"Y",203,47,"Normal",12.5335798157657
"36",132,2004,"Stone","BuiltIn","Fin","TA","TA","Ex","TA","Av","Unf","SBrkr","RL","VinylSd","VinylSd","Gd","WD",1117,1117,0,3,691,0,36,13418,"Reg","NridgHt","2Story",8,2004,2005,"Gd","PConc","Ex","Y",1132,1320,2452,3,1,9,1,"Y",113,32,"Normal",12.6410997921206
"37",0,1995,"None","Attchd","Unf","TA","TA","Gd","TA","No","Unf","SBrkr","RL","VinylSd","VinylSd","TA","WD",1097,1097,0,2,672,0,37,10859,"Reg","CollgCr","1Story",5,1994,1995,"TA","PConc","Ex","Y",1097,0,1097,1,1,6,0,"Y",392,64,"Normal",11.8844959179307
"38",650,1954,"BrkFace","Attchd","Fin","TA","TA","TA","TA","No","Rec","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",84,1297,0,2,498,1213,38,8532,"Reg","NAmes","1Story",5,1954,1990,"TA","CBlock","Gd","Y",1297,0,1297,1,0,5,1,"Y",0,0,"Normal",11.9381997363009
"39",0,1953,"None","Detchd","Unf","TA","TA","TA","TA","No","GLQ","SBrkr","RL","VinylSd","VinylSd","Gd","WD",326,1057,1,1,246,731,39,7922,"Reg","NAmes","1Story",5,1953,2007,"TA","CBlock","TA","Y",1057,0,1057,1,0,5,0,"Y",0,52,"Abnorml",11.5991123354811
"40",0,NA,"None","Attchd","Unf","TA","TA","TA","TA","No","Unf","FuseP","RL","AsbShng","Plywood","Fa","WD",0,0,0,0,0,0,40,6040,"Reg","Edwards","1Story",4,1955,1955,"TA","PConc","TA","N",1152,0,1152,2,0,6,0,"N",0,0,"AdjLand",11.314486721294
"41",101,1965,"BrkFace","Attchd","RFn","TA","TA","TA","TA","No","Rec","SBrkr","RL","Wd Sdng","Wd Sdng","TA","WD",445,1088,0,2,440,643,41,8658,"Reg","NAmes","1Story",6,1965,1965,"TA","CBlock","Ex","Y",1324,0,1324,2,0,6,1,"Y",0,138,"Abnorml",11.9829353441964
"42",0,1959,"None","Attchd","RFn","TA","TA","TA","TA","Gd","BLQ","SBrkr","RL","VinylSd","VinylSd","TA","WD",383,1350,0,1,308,967,42,16905,"Reg","Timber","1Story",5,1959,1959,"TA","CBlock","Gd","Y",1328,0,1328,1,1,5,2,"P",0,104,"Normal",12.043559598368
